"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51"
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.12879407779678e-06,-1.84666456183666e-06,-2.38423493439518e-06,-2.40321788999317e-06,-2.71668889975412e-06,-2.08795084694068e-06,-3.36225592250579e-06,-3.87198032101781e-06,-4.23257186838432e-06,-4.2170745128315e-06,-3.85993971366457e-06,-3.65473717991491e-06,-4.06825826718246e-06,-4.01804640915185e-06,-3.95822434264168e-06,-4.01354621815423e-06,-3.50593504333027e-06,-3.72984873794339e-06,-4.37307116091604e-06,-3.86250004414221e-06,-4.20734952452167e-06,-4.48577215642396e-06,-3.76877146910548e-06,-3.54012301116134e-06,-4.09575588564191e-06,-4.48776362187814e-06,-3.96164982588678e-06,-4.07921954447836e-06,-3.48425437957283e-06,-3.17362055252015e-06,-3.39709851228114e-06,-3.47954431120667e-06,-3.28162098585238e-06,-3.52144406123411e-06,-3.59596606946543e-06,-3.74045575095122e-06,-3.69892003502808e-06,-4.50094126502408e-06,-4.2483398523992e-06
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.47347989407382e-06,-2.32617090320896e-06,-2.52593623027443e-06,-2.70515674816627e-06,-3.14318842500776e-06,-3.571225535804e-06,-3.51218991840808e-06,-4.70879046805972e-06,-3.96384852322443e-06,-3.57125063698666e-06,-3.55018460253972e-06,-4.05135985904838e-06,-4.0466113995053e-06,-3.79872484576231e-06,-3.85136766094131e-06,-4.01943442916341e-06,-4.42374637825546e-06,-3.8850369695317e-06,-3.73115494957167e-06,-3.39507505492902e-06,-3.78992042981487e-06,-3.35440814294009e-06,-3.33013601955629e-06,-3.75991136330277e-06,-3.59367747170323e-06,-2.96342492072399e-06,-2.82388125351589e-06,-3.10138789226068e-06,-3.03513524123734e-06,-3.14489116425032e-06,-3.14818033413289e-06,-3.73608444353486e-06,-3.78721094705769e-06,-4.11062928666061e-06,-4.4662281631853e-06,-4.24651231050931e-06,-4.26498425769507e-06,-3.92443354452118e-06
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.32615195642027e-06,-1.75014881605112e-06,-2.7113732465193e-06,-3.33274485317779e-06,-3.91582520455236e-06,-3.70098653402091e-06,-4.57111689086549e-06,-4.47255794953974e-06,-4.21986259241237e-06,-4.29604980701493e-06,-4.37050772433491e-06,-3.92575548313639e-06,-3.89449029489335e-06,-4.31177271473781e-06,-4.04264588094402e-06,-4.55504988059863e-06,-3.88795863312223e-06,-3.58438897262878e-06,-4.2145086196004e-06,-4.24165429112794e-06,-3.81021474500875e-06,-3.46096585625389e-06,-2.89964181426459e-06,-2.89284280037478e-06,-3.3062929019925e-06,-3.2438340196325e-06,-2.87114741605072e-06,-2.84117683708985e-06,-3.09835790110838e-06,-3.68155534641935e-06,-3.97422091424368e-06,-3.47891900701174e-06,-3.41310878020731e-06,-3.47329403044357e-06,-3.58635752161466e-06,-3.36801409554822e-06,-3.59525272482677e-06
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.25883190327933e-06,-3.56397207590805e-06,-3.36112783898765e-06,-4.97208439703855e-06,-4.92509061427503e-06,-4.64281490274076e-06,-5.23773618096865e-06,-5.78238873982148e-06,-5.96829112573726e-06,-4.95559845215438e-06,-4.34819734548528e-06,-4.84375780874141e-06,-4.28620828744032e-06,-4.97327043825421e-06,-4.81884956470264e-06,-4.18570090991008e-06,-4.78899928779764e-06,-3.98122846106011e-06,-4.05073754839203e-06,-3.76932907120984e-06,-3.9619365156839e-06,-3.49204523019996e-06,-3.24273317057131e-06,-2.34428695686551e-06,-2.61881839928464e-06,-2.45490771572867e-06,-2.89478979549824e-06,-2.8497442795604e-06,-3.20390847620113e-06,-3.48289343340221e-06,-2.99723429778944e-06,-3.36100408109247e-06,-3.35509155352481e-06,-3.07305949445725e-06,-3.38282422927059e-06,-3.29650764031151e-06
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.57299970697192e-06,-4.0451758642983e-06,-5.60369182971108e-06,-5.38370902908903e-06,-5.65621650344573e-06,-6.17952155106504e-06,-6.89043867296285e-06,-6.66045480762864e-06,-5.09156346468577e-06,-4.93578482262185e-06,-5.23104290433751e-06,-5.56170153163687e-06,-5.09256909133218e-06,-4.97592273501246e-06,-3.9670302872377e-06,-3.83518919564852e-06,-4.27096874980161e-06,-3.77318750966092e-06,-4.05685569629511e-06,-3.68729014477072e-06,-3.21278362856285e-06,-3.46270303009656e-06,-3.0539639320866e-06,-3.13045101388664e-06,-3.3466427403711e-06,-3.2049610301997e-06,-2.95475442168622e-06,-3.43390379664211e-06,-3.76990182875367e-06,-3.57782388521501e-06,-3.1974102096322e-06,-3.28291454860695e-06,-3.40561202769452e-06,-3.54921329468482e-06,-3.16179988175653e-06
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.40684180701704e-06,-6.26655596180721e-06,-5.24470614768227e-06,-4.9508455204059e-06,-4.4072766135768e-06,-5.75373555388035e-06,-6.2169806697542e-06,-5.28056470218394e-06,-5.10486614889445e-06,-4.33698204974839e-06,-3.90614193913717e-06,-4.17207263181171e-06,-3.80329961578539e-06,-3.93758076435779e-06,-4.15927498968795e-06,-4.4056395391905e-06,-4.60761543749165e-06,-4.39073239846396e-06,-3.54051351465487e-06,-3.57394306849334e-06,-2.83130858878309e-06,-3.14413504593583e-06,-2.91148442138926e-06,-3.13145912271285e-06,-2.71615740807272e-06,-2.66191783759488e-06,-3.116974430949e-06,-3.31022821225546e-06,-3.0280733391667e-06,-3.08834766250642e-06,-3.06392839449877e-06,-2.94273249139704e-06,-3.2655723025965e-06,-3.4979442429736e-06
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.06343246621948e-06,-5.16538973254459e-06,-5.6654614728548e-06,-5.52660068209951e-06,-6.3020348488854e-06,-6.38539979356501e-06,-4.64049504592719e-06,-4.45958863835766e-06,-4.32180987506246e-06,-3.46980408723003e-06,-3.61160866400781e-06,-4.50022136869527e-06,-4.0321161085131e-06,-4.74126456258892e-06,-4.59909298999023e-06,-4.09243892025204e-06,-4.43528441436328e-06,-3.55773209897953e-06,-3.39866108568682e-06,-3.28035172172543e-06,-3.35109082112553e-06,-3.18578996722306e-06,-3.50629339689392e-06,-2.90577105565726e-06,-3.0381505131619e-06,-3.71342697619284e-06,-3.15636536836212e-06,-3.16507428150905e-06,-3.09135330445321e-06,-3.14553581553288e-06,-3.44566674015727e-06,-2.94894012415054e-06,-3.36669740125871e-06
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.74394993320405e-06,-6.58277262417137e-06,-5.29626432332164e-06,-5.60566807093647e-06,-6.25158947646749e-06,-5.48839703676657e-06,-4.25369274280445e-06,-3.27823370677387e-06,-3.52466898215914e-06,-3.59457968109682e-06,-4.1826626501018e-06,-3.75875751810588e-06,-4.10672871717233e-06,-3.47342768005831e-06,-4.21489652797631e-06,-3.69714708313772e-06,-3.64535860473075e-06,-3.44347154412351e-06,-2.91783360544949e-06,-2.55364918040538e-06,-3.10032252501793e-06,-2.74757027387152e-06,-2.76297643566155e-06,-2.8066698604416e-06,-3.15195854969825e-06,-2.92711489794007e-06,-3.73997940982587e-06,-3.32746279522546e-06,-3.6234925318436e-06,-3.82844551616704e-06,-3.65961775419032e-06,-4.04967655052049e-06
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.58253641106214e-06,-4.87366610738265e-06,-5.19644647328386e-06,-6.0707881127248e-06,-5.14621508756374e-06,-3.86296334769802e-06,-3.74847296649228e-06,-3.28644393502444e-06,-4.02572739360192e-06,-4.88309815644861e-06,-3.75327011533788e-06,-3.57537775404155e-06,-3.52853179532384e-06,-4.23498443087596e-06,-3.64573497456207e-06,-2.7813655707325e-06,-2.31892927570981e-06,-1.48640082986885e-06,-2.06942300489404e-06,-2.3679382771427e-06,-2.66060507762639e-06,-2.36134081297616e-06,-2.33716676823934e-06,-2.40294744030381e-06,-2.44550038914199e-06,-2.55980129025269e-06,-2.8412490739509e-06,-3.16427719239092e-06,-3.58377323367754e-06,-3.68340484111777e-06,-3.79682021800478e-06
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.91658062082086e-06,-4.99343545043931e-06,-5.25805832621544e-06,-3.82923315814823e-06,-2.38206819709553e-06,-3.05796008380414e-06,-3.1384385881933e-06,-3.94472519131698e-06,-3.78526892421107e-06,-3.10876387252399e-06,-3.63513944758573e-06,-2.86890618130609e-06,-2.36207929695267e-06,-2.99676083770258e-06,-2.55087584828626e-06,-2.52254665182593e-06,-1.70263306602336e-06,-2.62719339333523e-06,-3.1496203111415e-06,-2.52641251695294e-06,-2.38426387216811e-06,-2.52268159586092e-06,-2.63224053071592e-06,-2.70628784354431e-06,-2.61810610432713e-06,-3.14917397100803e-06,-3.35111581536506e-06,-3.78645508011019e-06,-3.04442385087921e-06,-2.98645560322873e-06
